id,N0,B1,B2,K,F,S,nLL,delta
30,30.816030585791,164.01119757308,3.246813826843e-11,0.112662925550561,2.79732610619326e-05,14.1702150073091,89.4463866923121,44.2582977833559
74,39.4812668066944,147.69532349779,1.93104651139739e-11,0.0617704051712295,4.74005435655281e-06,14.3561807238227,89.5988516384574,44.4107627295012
17,23.2016787486466,187.94243847551,4.14997129603395e-11,0.274224575248398,2.12672298468276e-05,15.4748851166221,91.561046767146,46.3729578581898
68,91.8700956907513,168.931187602953,4.31597715632024e-11,0.176957630843212,2.65663477386306e-05,15.8290298979415,92.1993094670329,47.0112205580767
38,32.5969336124234,218.920200097509,2.49608477844311e-11,0.102526615299718,3.17003049114761e-05,16.1590808445926,92.6367010439682,47.4486121350119
84,78.6068818252417,183.541398122901,4.0204220702477e-11,0.166031666464226,1.45218613550626e-05,16.3863284325811,93.0550287555049,47.8669398465487
45,78.0976908030197,181.979095680319,3.724430120581e-11,0.198852281666646,3.01513802571773e-06,16.5145568409371,93.1391916407707,47.9511027318145
37,87.4402893459427,166.238149717747,1.033571240388e-11,0.116660764802136,3.4687756103763e-05,16.8604426131096,93.808710978635,48.6206220696788
24,77.184388674434,190.328665802941,2.74651631518803e-11,0.376378692128968,9.84444263810588e-06,17.2773005923518,94.5711821277411,49.3830932187848
36,67.7135406919645,152.289053609622,3.89093351801676e-11,0.355096873408409,1.17879973847283e-05,17.5687865278797,95.4765587396294,50.2884698306731
31,66.4110264262763,211.490996282722,2.63063633055515e-11,0.216099485012311,2.23131205476145e-05,18.1011457392565,95.5335311989655,50.3454422900093
12,60.543059374706,178.898358030392,3.68331620295077e-11,0.239820556811909,3.30671854120547e-05,18.2710531192104,95.7900552936146,50.6019663846584
9,7.8547184774892,131.988738834344,3.79303810687295e-11,0.170823830089597,9.32659903932054e-06,19.1347854709944,96.8225904838153,51.6345015748591
51,58.5950657845246,192.994260531853,1.6728953176218e-11,0.0476976746700374,1.79511881513041e-05,19.4710097279253,97.2451446632532,52.057055754297
28,70.0594154921064,177.409661707942,8.80357717129991e-12,0.149527363223929,3.58018186640438e-05,19.6457197874485,97.561928830438,52.3738399214818
