id,N0,F,S,nLL,delta
5,41.6481813715052,1.77305164488687e-05,18.3759624022305,95.8504358234893,68.5763717787279
51,77.4420814769612,4.681635699744e-06,18.524989048894,96.2009032237952,68.9268391790338
34,76.7866059971736,2.48122989913704e-05,18.6371215207138,96.2309512856643,68.9568872409029
60,95.8291084503115,1.03559137823453e-06,18.9867009281309,96.6956498711745,69.4215858264131
94,37.9822366502709,9.64771134711961e-06,19.0596499127232,96.7925263740504,69.518462329289
8,47.352889764258,2.76091899357396e-05,19.3487262244258,97.1118182184496,69.8377541736882
96,80.9841671235485,1.14041664128143e-05,19.5889904858266,97.5722789073687,70.2982148626073
98,35.1853342799084,3.79750130029657e-05,19.6700450926882,97.5771080082281,70.3030439634667
2,58.5225591455698,3.85225435022355e-05,19.8320419626348,97.782167550427,70.5081035056656
41,86.2851627036114,3.02577796238297e-05,0.484952186036204,186.464689602456,159.190625557694
95,15.7827321709273,1.27331424033062e-05,0.222538367516703,219.205598933596,191.931534888835
59,44.303192850756,4.96833395991738e-05,0.103938670468164,11858.1126929939,11830.8386289491
