id,N0,Linf,K,q,sigma,nLL,delta
4,59.4975972511148,138.662834662717,0.120709327246333,3.94294276750588e-05,14.761769901317,91.1467532696257,47.4585884311304
34,84.1370110143793,178.995069907494,0.310264174053177,3.24244267018234e-05,15.0823642214375,91.3957413402471,47.7075765017518
6,15.8082542567691,156.489413695105,0.320369369853711,2.90351048951538e-05,15.4503566957696,92.8301699047325,49.1420050662373
58,13.8819275520205,200.980635563802,0.276318076418306,2.28352815199216e-05,15.6717283090042,93.4699002352555,49.7817353967602
16,63.3412139484325,170.242861575956,0.11383036540182,3.8313463152041e-05,16.686966353442,93.6416391358485,49.9534742973532
41,59.2032975080863,178.334452288855,0.0592956091782637,2.12893326971415e-05,16.8747207285963,93.7202494489297,50.0320846104344
96,7.43702658173154,157.20477865429,0.0708233657191093,4.81035368121551e-05,15.8522536076768,94.3714586466202,50.6832938081249
94,70.5192393332387,170.444519846537,0.334222499876556,1.53246998590448e-05,17.4902283916639,94.7260900281782,51.037925189683
98,8.82002629243446,161.982085895112,0.103898944848724,2.66567962699653e-05,17.6057253285763,95.0049764780091,51.3168116395138
85,93.2358497236745,208.735085879858,0.232082230436887,3.11647433881505e-05,18.0382707061479,95.4791560623931,51.7909912238978
71,58.240738676163,198.743327074515,0.0759848589394425,7.88195750050493e-06,18.9398799849376,96.5737516520702,52.8855868135749
60,9.72624029007921,189.52324458919,0.165672277532107,4.8571015895149e-05,1.86734532987663,96.7701598615295,53.0819950230342
25,60.6950737676819,189.905716256387,0.258249590496873,3.67432246440337e-05,19.9015138981793,97.9126934536186,54.2245286151233
27,55.8738500236044,136.079894182096,0.22355631231257,1.16949042202143e-08,19.5378152790254,98.4806345669234,54.7924697284281
1,77.8707172974977,206.986015136366,0.462321104238844,4.18314150120396e-05,6.86819715411833,Inf,Inf
2,72.8738491125916,185.453754015404,0.203450084559875,6.78614647961631e-06,19.2733182075853,Inf,Inf
5,67.1983428510582,144.383582714396,0.0323919569158932,2.81963851593871e-05,12.6976553099578,Inf,Inf
11,31.1504110510055,158.352267402403,0.423491479202552,4.11547261571244e-05,16.1384380156404,Inf,Inf
12,51.7061350395049,150.05545892926,0.191787071051369,9.81921374620763e-06,2.73162616979096,Inf,Inf
13,23.4458744536945,186.606672195525,0.371361381124916,3.72998330517045e-06,18.5226006726324,Inf,Inf
15,91.6427342137794,151.088662896033,0.484144555536801,3.1547625390365e-05,2.27337935252298,Inf,Inf
17,2.31136352287437,139.62872724934,0.300558195645422,4.94606025394835e-05,17.9269080829452,Inf,Inf
20,12.3551400767755,197.067502264904,0.447760706826157,2.30320410515694e-05,8.93716755922733,Inf,Inf
21,99.3789167212421,188.558076306869,0.017646070574359,1.93406455514794e-05,13.354900887392,Inf,Inf
23,80.589610902321,163.578373490662,0.372647474515341,4.53556286869782e-05,0.773302912830469,Inf,Inf
24,45.7020752023021,141.295330346116,0.451209154483319,2.19383842215853e-05,18.2107042577913,Inf,Inf
26,49.1210548247239,143.372874354565,0.494338266592634,3.28065879405388e-05,15.2503810228243,Inf,Inf
33,47.2326015428952,182.949269288436,0.415674493684217,4.43601831010034e-05,17.3797424589493,Inf,Inf
35,98.8356468908589,173.117203450053,0.48677139109286,1.63446107736265e-06,11.8835641446609,Inf,Inf
36,95.1876903913551,205.315473599399,0.419342338567162,4.29802911367849e-05,5.29571276965334,Inf,Inf
37,75.5906113121618,190.704135382284,0.288464094071482,1.55998768630655e-05,7.10914448862453,Inf,Inf
38,24.9020277746916,137.033846333347,0.226607579901707,4.57968756193053e-05,16.2066785656892,Inf,Inf
39,4.69176893884604,146.07199374788,0.147746351768917,4.00851925813212e-05,7.76359979077568,Inf,Inf
43,41.1797835128412,172.216328208484,0.399849855421453,4.9606489483174e-05,3.07163003081868,Inf,Inf
44,70.0727304382751,167.500863585553,0.186345277928234,3.76852077899347e-05,0.0324676118157761,Inf,Inf
49,52.6464686181418,139.226511785799,0.385699789271609,1.23324229414995e-05,10.0257134763937,Inf,Inf
50,81.7894737277792,168.251664315928,0.499543153708603,2.75587716452397e-05,5.75868979148887,Inf,Inf
51,33.5743300165871,142.263933687714,0.044096163172665,4.73332253767822e-05,9.78112908816277,Inf,Inf
55,97.4574239975408,147.819688449884,0.465935749377367,3.32990814596305e-05,14.4738255412321,Inf,Inf
59,86.3752749825,143.122343297356,0.349738384020133,4.31819501865533e-05,16.48761218295,Inf,Inf
63,41.719738608485,153.245057654442,0.345973254402285,2.36296921935389e-05,13.4639704246671,Inf,Inf
64,37.0358828141553,151.619458300167,0.364225735440792,1.71307970936495e-05,11.4140189013078,Inf,Inf
70,82.9441577695504,153.85501961723,0.433418734277975,4.7933519038716e-05,1.1983896210701,Inf,Inf
79,92.5031274502744,192.911904729394,0.396440414623588,4.22520496793807e-05,1.77014073491178,Inf,Inf
83,96.1119924491446,146.938619305314,0.444968674302884,3.71221268247598e-05,18.7715568426239,Inf,Inf
87,87.2489562281679,192.011208296607,0.477898685695802,3.53553719193481e-05,0.466861370561019,Inf,Inf
